Date,Price,Open,High,Low,Vol,Change %
9/29/2023,"52,600","53,800","53,800","52,600",4.95M,-0.75%
9/28/2023,"53,000","52,900","54,700","52,500",8.91M,1.92%
9/27/2023,"52,000","51,100","52,000","50,200",4.90M,0.97%
9/26/2023,"51,500","51,100","51,700","50,500",8.27M,0.98%
9/25/2023,"51,000","51,600","53,000","49,900",7.69M,-2.11%
9/22/2023,"52,100","53,100","53,400","51,300",11.80M,-3.87%
9/21/2023,"54,200","55,800","55,800","54,200",9.50M,-2.87%
9/20/2023,"55,800","55,100","56,200","54,600",6.83M,0.54%
9/19/2023,"55,500","55,100","55,500","53,000",8.84M,0.91%
9/18/2023,"55,000","55,600","55,600","54,100",6.61M,-1.61%
9/15/2023,"55,900","57,500","57,500","55,400",7.84M,-2.44%
9/14/2023,"57,300","57,700","58,500","57,100",8.44M,-0.35%
9/13/2023,"57,500","56,100","59,300","55,500",16.05M,3.05%
9/12/2023,"55,800","54,500","55,800","54,000",4.79M,2.39%
9/11/2023,"54,500","55,800","56,200","53,800",8.46M,-1.80%
9/8/2023,"55,500","54,500","56,500","54,500",7.81M,0.91%
9/7/2023,"55,000","55,200","55,800","54,300",5.99M,0.00%
9/6/2023,"55,000","54,300","55,600","53,800",5.12M,1.29%
9/5/2023,"54,300","53,800","55,500","53,400",8.35M,0.93%
8/31/2023,"53,800","54,000","54,400","53,500",5.21M,0.00%
8/30/2023,"53,800","53,000","54,500","52,900",7.31M,1.70%
8/29/2023,"52,900","51,800","53,200","51,500",8.30M,2.32%
8/28/2023,"51,700","50,900","51,900","50,400",8.50M,2.38%
8/25/2023,"50,500","50,300","51,400","50,000",7.14M,0.40%
8/24/2023,"50,300","49,700","50,800","49,700",5.73M,1.21%
8/23/2023,"49,700","50,700","50,700","49,200",4.96M,-0.60%
8/22/2023,"50,000","49,100","50,200","47,350",10.15M,2.04%
8/21/2023,"49,000","50,000","50,500","48,750",7.06M,-2.39%
8/18/2023,"50,200","53,900","53,900","50,200",13.46M,-6.86%
8/17/2023,"53,900","54,100","55,200","53,400",7.23M,0.19%
8/16/2023,"53,800","54,000","54,300","53,000",5.14M,-0.37%
8/15/2023,"54,000","54,600","55,900","54,000",8.38M,-0.37%
8/14/2023,"54,200","53,900","54,300","52,600",9.62M,1.69%
8/11/2023,"53,300","52,200","53,300","51,000",6.32M,2.50%
8/10/2023,"52,000","53,000","53,000","51,700",4.98M,-1.14%
8/9/2023,"52,600","53,400","53,400","52,000",8.97M,-1.87%
8/8/2023,"53,600","54,000","54,300","53,400",5.74M,-0.37%
8/7/2023,"53,800","53,700","54,900","53,300",6.49M,1.51%
8/4/2023,"53,000","53,000","53,200","52,300",7.53M,0.57%
8/3/2023,"52,700","51,800","53,700","51,400",8.00M,1.93%
8/2/2023,"51,700","51,700","52,500","51,600",5.32M,0.00%
8/1/2023,"51,700","54,100","54,100","51,700",7.53M,-3.72%
7/31/2023,"53,700","54,000","54,200","52,600",7.86M,-1.47%
7/28/2023,"54,500","53,900","54,900","53,200",3.87M,0.74%
7/27/2023,"54,100","52,400","54,500","52,200",5.82M,3.84%
7/26/2023,"52,100","53,090","53,685","51,506",5.45M,-1.86%
7/25/2023,"53,090","53,982","53,982","52,397",4.43M,-1.65%
7/24/2023,"53,982","52,496","53,982","51,506",4.07M,2.82%
7/21/2023,"52,500","49,100","52,500","48,950",11.73M,6.92%
7/20/2023,"49,100","48,400","49,500","48,400",5.45M,1.24%
7/19/2023,"48,500","48,400","48,950","47,950",3.48M,0.94%
7/18/2023,"48,050","48,400","48,600","47,750",4.61M,-1.23%
7/17/2023,"48,650","49,500","49,850","48,650",2.79M,-1.62%
7/14/2023,"49,450","49,350","49,450","48,500",5.90M,0.20%
7/13/2023,"49,350","49,200","49,900","49,150",4.81M,0.41%
7/12/2023,"49,150","48,350","49,300","48,200",4.79M,0.72%
7/11/2023,"48,800","47,600","48,800","47,350",8.18M,2.20%
7/10/2023,"47,750","46,050","47,750","45,800",10.23M,4.95%
7/7/2023,"45,500","43,050","45,500","43,050",7.40M,5.32%
7/6/2023,"43,200","43,400","43,750","42,850",4.54M,-0.35%
7/5/2023,"43,350","43,450","44,450","43,350",7.26M,0.23%
7/4/2023,"43,250","42,900","43,650","42,650",4.44M,0.58%
7/3/2023,"43,000","43,450","43,650","42,800",1.80M,-0.69%
6/30/2023,"43,300","42,700","43,900","42,500",3.51M,1.41%
6/29/2023,"42,700","43,500","43,900","42,700",3.29M,-2.73%
6/28/2023,"43,900","44,200","44,450","43,200",3.99M,-0.68%
6/27/2023,"44,200","44,350","44,900","43,750",2.48M,-0.34%
6/26/2023,"44,350","43,550","44,500","42,600",5.46M,3.38%
6/23/2023,"42,900","43,050","43,200","42,700",2.16M,-0.35%
6/22/2023,"43,050","42,850","43,650","42,350",4.11M,0.82%
6/21/2023,"42,700","42,500","42,700","42,200",2.57M,0.47%
6/20/2023,"42,500","41,600","42,500","41,600",2.48M,2.41%
6/19/2023,"41,500","41,350","41,700","41,100",2.06M,0.36%
6/16/2023,"41,350","41,950","42,300","41,150",4.41M,-0.84%
6/15/2023,"41,700","42,050","42,400","41,450",2.81M,-0.83%
6/14/2023,"42,050","43,000","43,000","42,050",3.32M,-2.21%
6/13/2023,"43,000","43,400","43,400","42,600",3.40M,0.00%
6/12/2023,"43,000","41,650","43,000","41,500",7.25M,3.86%
6/9/2023,"41,400","41,000","41,400","40,500",4.12M,1.85%
6/8/2023,"40,650","42,000","42,000","40,600",4.51M,-2.75%
6/7/2023,"41,800","41,800","41,950","41,050",4.75M,0.00%
6/6/2023,"41,800","41,200","42,050","41,050",4.67M,1.46%
6/5/2023,"41,200","41,000","41,600","40,800",6.62M,0.98%
6/2/2023,"40,800","39,450","40,850","39,200",5.71M,3.82%
6/1/2023,"39,300","39,350","39,500","38,700",2.91M,0.26%
5/31/2023,"39,200","39,300","39,450","38,950",1.98M,-0.51%
5/30/2023,"39,400","38,850","39,800","38,850",4.82M,1.81%
5/29/2023,"38,700","38,450","38,700","38,150",2.26M,1.31%
5/26/2023,"38,200","38,050","38,400","38,000",882.50K,0.53%
5/25/2023,"38,000","37,950","38,400","37,800",1.48M,0.13%
5/24/2023,"37,950","38,400","38,450","37,900",1.25M,-0.78%
5/23/2023,"38,250","38,650","38,800","38,200",1.47M,-0.78%
5/22/2023,"38,550","38,350","38,650","38,050",1.52M,0.65%
5/19/2023,"38,300","38,100","38,300","37,800",1.64M,0.52%
5/18/2023,"38,100","38,550","38,700","38,100",1.75M,-0.13%
5/17/2023,"38,150","38,450","38,650","37,950",1.33M,-0.78%
5/16/2023,"38,450","38,900","38,950","38,200",2.13M,-1.16%
5/15/2023,"38,900","39,150","39,400","38,850",2.78M,-0.26%
5/12/2023,"39,000","38,750","39,100","38,200",2.03M,0.78%
5/11/2023,"38,700","39,150","39,350","38,550",1.66M,-0.77%
5/10/2023,"39,000","38,050","39,000","37,900",2.35M,2.77%
5/9/2023,"37,950","37,850","38,350","37,850",931.10K,0.26%
5/8/2023,"37,850","37,800","38,250","37,800",1.27M,0.13%
