Date,Price,Open,High,Low,Vol,Change %
7/31/2023,"54,900","50,000","54,900","49,300",11.94K,9.36%
7/28/2023,"50,200","49,300","50,200","49,000",2.60K,0.00%
7/27/2023,"50,200","48,600","50,200","48,600",1.30K,-1.38%
7/25/2023,"50,900","53,500","54,700","48,300",1.34K,1.39%
7/24/2023,"50,200","48,000","50,200","48,000",0.30K,-8.73%
7/21/2023,"55,000","49,000","55,000","49,000",3.55K,10.44%
7/17/2023,"49,800","49,900","52,000","48,100",0.40K,1.22%
7/14/2023,"49,200","49,900","49,900","48,300",0.50K,1.03%
7/13/2023,"48,700","47,900","48,700","47,900",0.70K,-0.41%
7/12/2023,"48,900","48,100","48,900","47,600",4.50K,1.88%
7/11/2023,"48,000","48,100","48,100","48,000",1.00K,-3.03%
7/10/2023,"49,500","49,500","49,500","49,500",0.10K,0.00%
7/7/2023,"49,500","49,500","49,500","49,500",0.10K,-1.00%
7/5/2023,"50,000","49,000","50,000","48,900",0.40K,-1.96%
7/4/2023,"51,000","50,000","51,000","50,000",1.99K,-0.58%
7/3/2023,"51,300","43,700","51,600","43,700",4.43K,-7.57%
6/30/2023,"55,500","49,000","55,500","48,000",42.60K,14.20%
6/29/2023,"48,600","48,600","49,000","48,000",1.80K,-0.82%
6/28/2023,"49,000","47,000","49,000","46,000",2.50K,1.24%
6/27/2023,"48,400","48,400","48,400","48,400",0.10K,0.00%
6/26/2023,"48,400","47,600","48,400","47,600",5.10K,0.83%
6/23/2023,"48,000","48,400","48,400","48,000",2.10K,0.00%
6/22/2023,"48,000","47,600","48,000","47,600",5.10K,-0.41%
6/21/2023,"48,200","48,000","48,200","48,000",5.20K,-0.41%
6/20/2023,"48,400","48,000","48,400","48,000",1.10K,0.83%
6/19/2023,"48,000","48,100","48,100","47,800",0.60K,-1.64%
6/16/2023,"48,800","48,800","48,800","47,800",4.90K,0.62%
6/15/2023,"48,500","48,000","48,500","48,000",5.60K,-0.61%
6/14/2023,"48,800","48,800","48,800","48,800",0.50K,-1.21%
6/13/2023,"49,400","49,100","49,400","48,900",4.10K,1.23%
6/9/2023,"48,800","46,700","49,300","46,700",21.80K,0.83%
6/8/2023,"48,400","48,300","48,400","47,000",2.25K,0.00%
6/7/2023,"48,400","48,000","48,400","48,000",5.00K,0.83%
6/6/2023,"48,000","48,400","48,400","46,700",3.77K,-0.41%
6/5/2023,"48,200","48,400","48,400","46,500",1.94K,-0.62%
6/2/2023,"48,500","47,000","48,500","47,000",3.30K,0.41%
5/31/2023,"48,300","48,300","48,300","48,300",0.10K,0.63%
5/30/2023,"48,000","48,000","48,000","48,000",0.10K,0.21%
5/29/2023,"47,900","47,800","48,500","47,000",2.80K,-1.64%
5/26/2023,"48,700","47,300","48,700","47,300",1.80K,4.06%
5/25/2023,"46,800","46,500","46,800","46,200",0.80K,-0.43%
5/24/2023,"47,000","48,300","48,300","46,000",5.20K,-0.42%
5/23/2023,"47,200","47,300","47,300","47,200",5.50K,-3.48%
5/22/2023,"48,900","48,900","48,900","48,900",0.10K,0.82%
5/19/2023,"48,500","48,500","48,500","46,800",1.50K,-0.41%
5/18/2023,"48,700","47,000","48,700","47,000",0.20K,-0.20%
5/17/2023,"48,800","48,800","48,800","48,800",0.10K,0.00%
5/16/2023,"48,800","48,300","48,800","48,200",2.30K,1.24%
5/15/2023,"48,200","48,500","48,500","48,200",5.60K,-2.43%
5/12/2023,"49,400","48,900","49,700","48,900",8.20K,0.00%
5/11/2023,"49,400","49,400","49,400","49,400",0.10K,1.02%
5/10/2023,"48,900","48,600","48,900","48,600",0.30K,1.88%
5/9/2023,"48,000","47,100","48,000","46,500",2.91K,-0.41%
5/8/2023,"48,200","48,600","49,700","48,200",1.50K,0.42%
5/5/2023,"48,000","49,300","49,300","48,000",2.90K,-2.04%
5/4/2023,"49,000","49,600","49,600","49,000",0.60K,-1.41%
4/28/2023,"49,700","49,400","51,000","49,000",2.70K,-0.60%
4/27/2023,"50,000","48,100","50,000","48,000",2.40K,-2.34%
4/26/2023,"51,200","50,000","53,000","48,300",22.50K,4.49%
4/25/2023,"49,000","49,400","49,600","49,000",4.10K,-1.01%
4/24/2023,"49,500","49,300","49,500","49,000",1.30K,-0.80%
4/21/2023,"49,900","45,500","49,900","45,500",1.10K,0.81%
4/20/2023,"49,500","48,400","49,500","48,100",3.20K,3.77%
4/19/2023,"47,700","49,000","49,000","47,700",0.40K,-3.44%
4/18/2023,"49,400","49,400","49,400","49,400",0.11K,1.02%
4/17/2023,"48,900","49,500","49,500","48,600",0.40K,-1.61%
4/14/2023,"49,700","50,000","50,000","48,000",7.51K,-0.20%
4/13/2023,"49,800","48,000","49,800","48,000",2.64K,3.75%
4/12/2023,"48,000","48,500","48,500","47,600",4.00K,-0.62%
4/11/2023,"48,300","48,100","48,500","48,000",4.00K,0.63%
4/10/2023,"48,000","48,900","48,900","48,000",4.70K,1.05%
4/7/2023,"47,500","48,800","49,000","47,500",2.86K,-1.66%
4/6/2023,"48,300","48,000","48,900","47,600",6.20K,-1.23%
4/5/2023,"48,900","48,500","48,900","48,000",5.81K,-0.20%
4/3/2023,"49,000","45,000","49,900","45,000",1.10K,-2.00%
3/31/2023,"50,000","46,000","50,000","46,000",17.00K,7.76%
3/30/2023,"46,400","46,000","46,700","45,700",6.70K,1.75%
3/29/2023,"45,600","45,800","45,900","45,600",4.00K,0.22%
3/28/2023,"45,500","45,900","45,900","45,500",2.80K,-1.09%
3/27/2023,"46,000","45,500","46,000","45,500",0.40K,0.22%
3/24/2023,"45,900","45,000","45,900","45,000",0.70K,0.00%
3/23/2023,"45,900","45,900","45,900","45,900",0.10K,1.32%
3/22/2023,"45,300","44,500","45,300","44,500",0.30K,0.00%
3/21/2023,"45,300","45,700","45,800","43,700",0.40K,-1.09%
3/20/2023,"45,800","46,000","46,000","43,000",1.10K,-0.22%
3/16/2023,"45,900","45,800","45,900","45,800",0.20K,4.08%
3/15/2023,"44,100","45,900","45,900","44,000",11.31K,-4.13%
3/14/2023,"46,000","44,000","46,000","44,000",5.15K,-0.43%
3/13/2023,"46,200","46,200","46,200","46,200",0.00K,0.00%
3/10/2023,"46,200","46,200","46,200","46,200",0.20K,-0.43%
3/9/2023,"46,400","45,100","46,400","45,100",2.70K,0.87%
3/7/2023,"46,000","46,000","46,000","46,000",0.11K,4.31%
3/6/2023,"44,100","46,000","47,000","44,100",49.10K,-6.57%
3/3/2023,"47,200","45,000","48,000","45,000",31.40K,3.74%
3/2/2023,"45,500","45,000","45,500","45,000",0.40K,0.00%
3/1/2023,"45,500","45,500","45,500","45,500",0.70K,-2.15%
2/28/2023,"46,500","43,500","46,500","43,500",2.30K,3.33%
2/27/2023,"45,000","45,400","45,400","45,000",0.20K,-3.02%
2/24/2023,"46,400","45,000","46,400","45,000",2.10K,3.80%
2/23/2023,"44,700","44,000","44,700","44,000",1.60K,0.22%
2/22/2023,"44,600","44,600","44,600","44,600",1.10K,0.00%
2/21/2023,"44,600","44,600","44,600","44,600",0.10K,0.22%
2/20/2023,"44,500","44,900","44,900","44,500",1.00K,0.00%
2/17/2023,"44,500","46,300","46,300","44,500",1.60K,-2.84%
2/16/2023,"45,800","45,800","45,800","45,800",0.10K,3.15%
2/15/2023,"44,400","46,300","46,300","44,400",1.20K,-1.33%
2/14/2023,"45,000","45,000","45,000","45,000",1.00K,0.00%
2/13/2023,"45,000","45,900","45,900","45,000",0.50K,-1.10%
2/10/2023,"45,500","45,000","45,500","45,000",0.70K,0.00%
2/9/2023,"45,500","46,400","46,400","45,500",0.61K,0.00%
2/8/2023,"45,500","46,700","46,700","45,500",2.80K,-1.94%
2/7/2023,"46,400","46,800","46,800","45,300",0.90K,0.22%
2/6/2023,"46,300","47,800","47,800","45,300",1.00K,-0.86%
2/3/2023,"46,700","46,900","46,900","45,800",2.42K,1.52%
2/2/2023,"46,000","47,800","48,400","46,000",3.08K,-2.54%
2/1/2023,"47,200","47,000","47,400","45,700",0.90K,-2.68%
1/31/2023,"48,500","46,400","48,500","45,100",8.60K,4.53%
